age_CE,DOY,MDD
990,-,
991,-,
992,-,
993,-,
994,-,
995,-,
996,-,
997,-,
998,-,
999,-,
1000,105,415
1001,-,
1002,-,
1003,-,
1004,117,426
1005,-,
1006,100,410
1007,106,416
1008,-,
1009,-,
1010,-,
1011,-,
1012,-,
1013,-,
1014,115,425
1015,-,
1016,111,420
1017,99,409
1018,113,423
1019,98,408
1020,-,
1021,-,
1022,-,
1023,-,
1024,-,
1025,-,
1026,-,
1027,-,
1028,-,
1029,116,426
1030,-,
1031,97,407
1032,111,420
1033,102,412
1034,96,406
1035,-,
1036,104,413
1037,-,
1038,-,
1039,-,
1040,-,
1041,103,413
1042,-,
1043,-,
1044,-,
1045,-,
1046,-,
1047,-,
1048,-,
1049,-,
1050,-,
1051,-,
1052,-,
1053,-,
1054,-,
1055,-,
1056,-,
1057,-,
1058,-,
1059,-,
1060,108,417
1061,-,
1062,-,
1063,-,
1064,-,
1065,-,
1066,105,415
1067,-,
1068,-,
1069,-,
1070,-,
1071,-,
1072,-,
1073,-,
1074,-,
1075,-,
1076,-,
1077,-,
1078,-,
1079,-,
1080,102,411
1081,-,
1082,-,
1083,96,406
1084,120,429
1085,-,
1086,-,
1087,-,
1088,104,413
1089,-,
1090,105,415
1091,-,
1092,-,
1093,105,415
1094,-,
1095,100,410
1096,96,405
1097,-,
1098,100,410
1099,103,413
1100,-,
1101,-,
1102,104,414
1103,-,
1104,108,417
1105,114,424
1106,-,
1107,105,415
1108,-,
1109,-,
1110,-,
1111,113,423
1112,104,413
1113,-,
1114,100,410
1115,-,
1116,-,
1117,109,419
1118,102,412
1119,-,
1120,104,413
1121,-,
1122,-,
1123,112,422
1124,98,407
1125,111,421
1126,108,418
1127,107,417
1128,111,420
1129,106,416
1130,103,413
1131,103,413
1132,-,
1133,-,
1134,106,416
1135,-,
1136,-,
1137,-,
1138,-,
1139,113,423
1140,103,412
1141,111,421
1142,-,
1143,110,420
1144,-,
1145,107,417
1146,-,
1147,-,
1148,-,
1149,-,
1150,-,
1151,-,
1152,-,
1153,-,
1154,96,406
1155,-,
1156,90,330
1157,-,
1158,-,
1159,103,413
1160,-,
1161,112,422
1162,-,
1163,112,422
1164,100,409
1165,106,416
1166,95,405
1167,111,421
1168,-,
1169,112,422
1170,113,423
1171,-,
1172,103,412
1173,117,427
1174,112,422
1175,113,423
1176,113,422
1177,-,
1178,-,
1179,103,413
1180,98,407
1181,-,
1182,-,
1183,101,411
1184,115,424
1185,115,425
1186,-,
1187,104,414
1188,107,416
1189,-,
1190,112,422
1191,106,416
1192,-,
1193,-,
1194,119,429
1195,-,
1196,-,
1197,-,
1198,-,
1199,109,419
1200,104,413
1201,96,406
1202,106,416
1203,105,415
1204,110,419
1205,105,415
1206,-,
1207,104,414
1208,-,
1209,-,
1210,112,422
1211,-,
1212,98,407
1213,107,417
1214,102,412
1215,108,418
1216,101,410
1217,-,
1218,-,
1219,101,411
1220,-,
1221,99,409
1222,-,
1223,116,426
1224,-,
1225,105,415
1226,106,416
1227,111,421
1228,-,
1229,97,407
1230,102,412
1231,101,411
1232,92,401
1233,105,415
1234,-,
1235,110,420
1236,-,
1237,-,
1238,-,
1239,-,
1240,106,415
