iter	Logloss
0	0.6817590414
1	0.6702455048
2	0.6599153174
3	0.6500327291
4	0.6389117148
5	0.6307077178
6	0.6196268728
7	0.609377937
8	0.5989422721
9	0.5910816968
10	0.5823731016
11	0.5732993441
12	0.5654047705
13	0.5570451121
14	0.5485577845
15	0.5399535287
16	0.5321081856
17	0.5238830384
18	0.5170135969
19	0.5097268094
20	0.5029254599
21	0.4952578845
22	0.4870654805
23	0.4797851353
24	0.4720144101
25	0.4635515683
26	0.4575235331
27	0.4518017939
28	0.4458671361
29	0.4385261108
30	0.432022674
31	0.4260035771
32	0.4209219675
33	0.416185274
34	0.4093343068
35	0.4038076045
36	0.3975421982
37	0.3921137736
38	0.3859837784
39	0.3813097708
40	0.3766623421
41	0.3712802037
42	0.3660846445
43	0.3617906891
44	0.3573401226
45	0.3522055412
46	0.3474484798
47	0.3430003121
48	0.3389078303
49	0.3343567323
50	0.3304545846
51	0.3262202913
52	0.3222014957
53	0.3184378751
54	0.3145235582
55	0.3107671432
56	0.3070313334
57	0.303481081
58	0.299342572
59	0.2952107204
60	0.2911307047
61	0.2876498462
62	0.2845816808
63	0.2809679301
64	0.2772245112
65	0.274426891
66	0.2703504559
67	0.2667355933
68	0.2638796046
69	0.2615380122
70	0.2581323195
71	0.2552507811
72	0.2520393703
73	0.2497647421
74	0.2470329289
75	0.2440753062
76	0.2411443557
77	0.2381445021
78	0.2350281895
79	0.2326574124
80	0.2299072684
81	0.2268812034
82	0.2242445254
83	0.2219375508
84	0.2197140361
85	0.21746073
86	0.2154129243
87	0.2129789284
88	0.210509115
89	0.209041046
90	0.2066348766
91	0.2045483342
92	0.2023382494
93	0.2003879323
94	0.1982412028
95	0.1964067468
96	0.1945988033
97	0.192520341
98	0.1903593396
99	0.1886477918
100	0.1866989349
101	0.1851214781
102	0.1836637376
103	0.1819597396
104	0.1799864044
105	0.1784548429
106	0.1767029862
107	0.174929228
108	0.1739718186
109	0.1726478309
110	0.1709263141
111	0.1695593417
112	0.1683423373
113	0.1666035635
114	0.1649421
115	0.1633220802
116	0.1616178632
117	0.1600951342
118	0.1581134856
119	0.1568441209
120	0.1552317867
121	0.1537692152
122	0.1527905691
123	0.151631867
124	0.1505223147
125	0.149127718
126	0.1478146991
127	0.1466476899
128	0.1452775416
129	0.1440787547
130	0.1428317262
131	0.1418839882
132	0.1405600875
133	0.139171102
134	0.1378319799
135	0.1368443855
136	0.135668049
137	0.134500552
138	0.1334163925
139	0.1322986192
140	0.1313613679
141	0.1305144337
142	0.1295655509
143	0.1285432566
144	0.127746392
145	0.1266130154
146	0.125623842
147	0.1248204104
148	0.1240483259
149	0.1231793694
150	0.1223911314
151	0.1214369233
