iter	Passed	Remaining
168	282	1388
169	283	1385
170	285	1382
171	286	1380
172	288	1378
173	289	1376
174	292	1376
175	293	1374
176	295	1372
177	296	1371
178	298	1368
179	299	1366
180	301	1363
181	302	1361
182	304	1357
183	305	1355
184	307	1352
185	308	1350
186	310	1347
187	311	1346
188	313	1344
189	314	1341
190	316	1339
191	317	1336
192	319	1335
193	320	1333
194	322	1332
195	324	1329
196	325	1326
197	327	1325
198	329	1324
199	330	1322
200	332	1320
201	333	1318
202	335	1315
203	336	1313
204	338	1312
205	339	1309
206	341	1307
207	342	1305
208	344	1303
209	345	1301
210	347	1299
211	349	1297
212	350	1295
213	352	1294
214	354	1293
215	356	1292
216	357	1290
217	359	1287
218	360	1286
219	362	1284
220	363	1282
221	365	1280
222	366	1278
223	368	1276
224	369	1274
225	371	1271
226	372	1269
227	374	1266
228	375	1264
229	377	1262
230	378	1260
231	380	1258
232	381	1256
233	383	1254
234	384	1251
235	386	1250
236	387	1248
237	389	1246
238	390	1244
239	392	1242
240	394	1240
241	395	1238
242	396	1236
243	398	1234
244	399	1231
245	401	1230
246	403	1229
247	405	1228
248	406	1226
249	408	1224
250	409	1223
251	411	1221
252	413	1219
253	414	1217
254	416	1215
255	417	1213
256	418	1211
257	420	1208
258	421	1206
259	423	1204
260	424	1202
261	426	1200
262	427	1198
263	429	1196
264	430	1194
265	432	1193
266	433	1191
267	435	1189
268	437	1187
269	438	1185
270	440	1184
271	441	1182
272	443	1182
273	445	1180
274	447	1178
275	449	1177
276	450	1176
277	452	1175
278	454	1174
279	456	1173
280	458	1172
281	460	1171
282	461	1169
283	463	1167
284	464	1165
285	466	1165
286	468	1163
287	469	1161
288	471	1158
289	472	1156
290	474	1155
291	475	1153
292	476	1150
293	478	1148
294	479	1146
295	481	1144
296	482	1142
297	484	1140
298	485	1138
299	487	1136
300	488	1134
301	490	1133
302	491	1131
303	493	1129
304	494	1127
305	496	1124
306	497	1122
307	498	1120
308	500	1119
309	501	1117
310	503	1115
311	504	1113
312	506	1111
313	508	1110
314	509	1108
315	511	1106
316	512	1104
317	513	1102
318	515	1100
319	516	1098
320	518	1096
321	519	1094
322	521	1092
323	522	1091
324	524	1089
325	525	1087
326	527	1085
327	528	1083
328	530	1081
329	531	1079
330	534	1079
331	535	1077
332	536	1075
333	538	1073
334	540	1072
335	541	1070
336	543	1068
337	544	1066
338	545	1064
339	547	1062
340	548	1060
341	550	1059
342	551	1057
343	553	1055
344	555	1054
345	556	1052
346	558	1050
347	559	1048
348	561	1046
349	562	1044
350	563	1042
351	565	1041
352	567	1039
353	568	1037
354	569	1035
355	571	1033
356	572	1031
357	574	1030
358	575	1028
359	577	1026
360	578	1024
361	580	1022
362	581	1020
363	583	1018
364	584	1016
365	585	1015
366	587	1013
367	589	1011
368	590	1010
369	592	1009
370	594	1007
371	595	1005
372	597	1004
373	598	1001
374	599	999
375	601	997
376	602	996
377	604	994
378	606	992
379	607	991
380	609	989
381	610	987
382	612	986
383	613	984
384	615	982
385	616	980
386	617	978
387	619	977
388	621	975
389	622	973
390	623	971
391	625	970
392	627	968
393	628	967
394	631	966
395	633	966
396	637	968
397	641	970
398	643	969
399	645	967
400	646	965
401	648	963
402	649	962
403	651	960
404	652	958
405	654	956
406	655	955
407	657	954
408	659	952
409	660	950
410	662	949
411	664	947
412	665	946
413	667	944
414	669	943
415	671	942
416	673	941
417	674	939
418	676	938
419	678	936
420	679	934
421	681	933
422	682	931
423	683	929
424	685	927
425	687	926
426	689	925
427	690	923
428	692	921
429	694	920
430	696	919
431	697	917
432	699	915
433	700	913
434	702	912
435	704	910
436	705	909
437	707	907
438	708	905
439	710	904
440	711	902
441	713	900
442	714	898
443	716	897
444	717	895
445	719	893
446	720	891
447	721	889
448	723	888
449	725	886
450	726	884
451	729	884
452	731	882
453	732	880
454	733	879
455	735	877
456	736	875
457	737	873
458	739	871
459	740	869
460	743	869
461	745	867
462	746	865
463	747	863
464	749	861
465	751	861
466	752	859
467	754	857
468	755	855
469	756	853
470	758	851
471	761	851
472	763	850
473	765	848
474	766	847
475	768	845
476	769	843
477	771	842
478	772	840
479	773	838
480	775	836
481	776	834
482	778	833
483	780	831
484	781	829
485	783	828
486	785	826
487	786	825
488	788	823
489	789	821
490	790	819
491	792	817
492	793	815
493	794	814
494	796	812
495	797	810
496	798	808
497	800	806
498	802	805
499	803	803
500	804	801
501	806	799
502	808	798
503	809	796
504	810	794
505	812	793
506	813	791
507	814	789
508	816	787
509	819	787
510	820	785
511	822	783
512	823	782
513	825	780
514	827	778
515	828	777
516	829	775
517	831	773
518	832	771
519	834	770
520	835	768
521	837	766
522	838	764
523	840	763
524	841	761
525	842	759
526	844	757
527	845	756
528	847	754
529	848	752
530	850	751
531	851	749
532	853	747
533	854	745
534	856	744
535	857	742
536	858	740
537	860	738
538	861	737
539	863	735
540	864	733
541	866	731
542	867	730
543	868	728
544	870	726
545	871	725
546	873	723
547	875	721
548	876	720
549	878	718
550	879	716
551	880	714
552	882	713
553	883	711
554	885	709
555	886	707
556	887	706
557	889	704
558	891	703
559	892	701
560	894	699
561	895	698
562	897	696
563	898	694
564	900	693
565	901	691
566	903	689
567	905	688
568	906	686
569	907	684
570	909	683
571	910	681
572	912	680
573	913	678
574	915	676
575	916	674
576	918	673
577	919	671
578	920	669
579	922	667
580	923	666
581	925	664
582	926	662
583	927	661
584	929	659
585	930	657
586	932	655
587	933	654
588	935	652
589	936	650
590	937	649
591	939	647
592	941	645
593	942	644
594	943	642
595	945	640
596	946	639
597	948	637
598	949	635
599	951	634
600	952	632
601	953	630
602	955	629
603	956	627
604	958	625
605	959	624
606	961	622
607	962	620
608	964	619
609	965	617
610	967	615
611	968	614
612	970	612
613	971	610
614	973	609
615	974	607
616	975	605
617	977	604
618	978	602
619	980	600
620	981	598
621	982	597
622	984	595
623	985	593
624	987	592
625	988	590
626	990	588
627	991	587
628	992	585
629	994	583
630	995	582
631	997	580
632	998	578
633	1000	577
634	1001	575
635	1002	573
636	1004	572
637	1006	571
638	1007	569
639	1009	567
640	1010	566
641	1012	564
642	1014	563
643	1015	561
644	1016	559
645	1018	557
646	1019	556
647	1021	554
648	1022	553
649	1024	551
650	1025	549
651	1027	548
652	1029	546
653	1030	545
654	1032	543
655	1033	542
656	1035	540
657	1036	538
658	1038	537
659	1039	535
660	1041	534
661	1042	532
662	1044	530
663	1045	529
664	1047	527
665	1048	525
666	1049	524
667	1051	522
668	1052	520
669	1054	519
670	1056	517
671	1057	516
672	1058	514
673	1060	512
674	1062	511
675	1064	510
676	1065	508
677	1067	506
678	1068	505
679	1070	503
680	1072	502
681	1073	500
682	1075	499
683	1077	497
684	1078	496
685	1080	494
686	1081	492
687	1083	491
688	1084	489
689	1086	487
690	1087	486
691	1088	484
692	1090	482
693	1091	481
694	1093	479
695	1095	478
696	1096	476
697	1098	475
698	1099	473
699	1101	471
700	1102	470
701	1103	468
702	1105	466
703	1106	465
704	1108	463
705	1109	462
706	1111	460
707	1112	458
708	1114	457
709	1115	455
710	1117	454
711	1118	452
712	1120	450
713	1121	449
714	1122	447
715	1124	446
716	1126	444
717	1128	443
718	1129	441
719	1131	439
720	1132	438
721	1134	436
722	1136	435
723	1138	433
724	1139	432
725	1141	430
726	1142	429
727	1144	427
728	1145	425
729	1146	424
730	1148	422
731	1150	421
732	1151	419
733	1153	417
734	1155	416
735	1156	414
736	1157	413
737	1159	411
738	1163	410
739	1166	409
740	1167	408
741	1170	406
742	1171	405
743	1173	403
744	1174	402
745	1176	400
746	1177	398
747	1179	397
748	1180	395
749	1181	393
750	1183	392
751	1184	390
752	1186	389
753	1187	387
754	1188	385
755	1190	384
756	1191	382
757	1194	381
758	1195	379
759	1196	377
760	1198	376
761	1199	374
762	1202	373
763	1203	371
764	1205	370
765	1206	368
766	1207	366
767	1209	365
768	1211	363
769	1212	362
770	1214	360
771	1215	358
772	1218	357
773	1219	356
774	1220	354
775	1222	352
776	1223	351
777	1224	349
778	1227	348
779	1229	346
780	1230	345
781	1232	343
782	1234	342
783	1235	340
784	1237	338
785	1238	337
786	1240	335
787	1241	334
788	1243	332
789	1244	330
790	1246	329
791	1247	327
792	1249	326
793	1250	324
794	1252	322
795	1253	321
796	1255	319
797	1256	318
798	1257	316
799	1259	314
800	1260	313
801	1272	314
802	1273	312
803	1278	311
804	1281	310
805	1283	308
806	1284	307
807	1286	305
808	1287	303
809	1288	302
810	1290	300
811	1291	299
812	1293	297
813	1295	295
814	1296	294
815	1297	292
816	1299	291
817	1300	289
818	1302	287
819	1303	286
820	1305	284
821	1306	282
822	1308	281
823	1311	280
824	1313	278
825	1316	277
826	1318	275
827	1319	274
828	1321	272
829	1322	270
830	1324	269
831	1325	267
832	1327	266
833	1328	264
834	1329	262
835	1331	261
836	1332	259
837	1334	257
838	1335	256
839	1337	254
840	1338	253
841	1340	251
842	1341	249
843	1343	248
844	1344	246
845	1345	245
846	1347	243
847	1348	241
848	1350	240
849	1351	238
850	1352	236
851	1354	235
852	1355	233
853	1357	232
854	1358	230
855	1359	228
856	1361	227
857	1362	225
858	1364	223
859	1365	222
860	1366	220
861	1368	219
862	1369	217
863	1370	215
864	1372	214
865	1373	212
866	1375	210
867	1376	209
868	1378	207
869	1379	206
870	1380	204
871	1382	202
872	1383	201
873	1385	199
874	1386	198
875	1387	196
876	1389	194
877	1390	193
878	1391	191
879	1393	189
880	1394	188
881	1396	186
882	1398	185
883	1399	183
884	1400	182
885	1402	180
886	1403	178
887	1404	177
888	1406	175
889	1408	174
890	1409	172
891	1411	170
892	1412	169
893	1414	167
894	1415	166
895	1417	164
896	1418	162
897	1420	161
898	1421	159
899	1423	158
900	1424	156
901	1425	154
902	1427	153
903	1428	151
904	1430	150
905	1431	148
906	1432	146
907	1434	145
908	1435	143
909	1437	142
910	1438	140
911	1441	139
912	1442	137
913	1444	135
914	1445	134
915	1447	132
916	1448	131
917	1450	129
918	1451	127
919	1453	126
920	1454	124
921	1456	123
922	1457	121
923	1458	119
924	1460	118
925	1461	116
926	1463	115
927	1464	113
928	1465	112
929	1467	110
930	1468	108
931	1470	107
932	1471	105
933	1473	104
934	1474	102
935	1475	100
936	1477	99
937	1479	97
938	1480	96
939	1482	94
940	1483	93
941	1485	91
942	1487	89
943	1488	88
944	1489	86
945	1491	85
946	1492	83
947	1493	81
948	1495	80
949	1497	78
950	1498	77
951	1500	75
952	1501	74
953	1502	72
954	1504	70
955	1505	69
956	1507	67
957	1508	66
958	1510	64
959	1511	62
960	1513	61
961	1514	59
962	1516	58
963	1517	56
964	1519	55
965	1520	53
966	1521	51
967	1523	50
968	1524	48
969	1526	47
970	1528	45
971	1529	44
972	1530	42
973	1532	40
974	1533	39
975	1535	37
976	1536	36
977	1537	34
978	1539	33
979	1540	31
980	1542	29
981	1544	28
982	1545	26
983	1547	25
984	1548	23
985	1550	22
986	1551	20
987	1553	18
988	1554	17
989	1556	15
990	1557	14
991	1559	12
992	1560	11
993	1561	9
994	1563	7
995	1564	6
996	1566	4
997	1568	3
998	1569	1
999	1571	0
