flightNumber,Date,Starting_IATA_Code,Starting_Location,Destination_IATA_Code,Destination_Location,Carrier
82,2017,ORD,"Chicago,USA,O'Hare",AUS,"Austin,USA,Bergstrom International",American Airlines
81,2017,JFK,"New York,USA,John F. Kennedy",ORD,"Chicago,USA,O'Hare",American Airlines
80,2017,MAD,"Madrid,Spain,Adolfo Suárez, Barajas",JFK,"New York,USA,John F. Kennedy",Iberia
79,2017,ORY,"Paris,France,Orly",MAD,"Madrid,Spain,Adolfo Suárez, Barajas",Iberia
78,2017,BCN,"Barcelona,Spain,El Prat International",ORY,"Paris,France,Orly",Vueling Airlines
77,2017,GRX,"Granada-Jaén,Spain,Federico García Lorca",BCN,"Barcelona,Spain,El Prat International",Vueling Airlines
76,2017,JFK,"New York,USA,John F. Kennedy",MAD,"Madrid,Spain,Adolfo Suárez, Barajas",American Airlines
75,2017,ORD,"Chicago,USA,O'Hare",SYR,"Syracuse,USA,Syracuse Hancock International",American Airlines
74,2017,NRT,"Tokyo,Japan,Narita",ORD,"Chicago,USA,O'Hare",American Airlines
73,2017,ORD,"Chicago,USA,O'Hare",NRT,"Tokyo,Japan,Narita",Japan Airlines
72,2017,SYR,"Syracuse,USA,Syracuse Hancock International",ORD,"Chicago,USA,O'Hare",American Airlines
71,2017,SVO,"Moscow,Russia,Sheremetyevo",JFK,"New York,USA,John F. Kennedy",Aeroflot
70,2017,DEL,"New Delhi,India,Indira Gandhi International",SVO,"Moscow,Russia,Sheremetyevo",Aeroflot
69,2016,SVO,"Moscow,Russia,Sheremetyevo",DEL,"New Delhi,India,Indira Gandhi International",Aeroflot
68,2016,JFK,"New York,USA,John F. Kennedy",SVO,"Moscow,Russia,Sheremetyevo",Aeroflot
67,2016,AUH,"Abu Dhabi,United Arab Emirates,International",JFK,"New York,USA,John F. Kennedy",Etihad Airways
66,2016,DEL,"New Delhi,India,Indira Gandhi International",AUH,"Abu Dhabi,United Arab Emirates,International",Etihad Airways
65,2016,BLR,"Bangalore,India,Kempegowda International",DEL,"New Delhi,India,Indira Gandhi International",IndiGo
64,2016,DEL,"New Delhi,India,Indira Gandhi International",BLR,"Bangalore,India,Kempegowda International",IndiGo
63,2016,MAA,"Chennai,India,International",DEL,"New Delhi,India,Indira Gandhi International",GoAir
62,2016,BOM,"Mumbai (Bombay),India,Chhatrapati Shivaji",MAA,"Chennai,India,International",GoAir
61,2016,DEL,"New Delhi,India,Indira Gandhi International",BOM,"Mumbai (Bombay),India,Chhatrapati Shivaji",GoAir
60,2016,PAT,"Patna,India,Lok Nayak Jayaprakash",DEL,"New Delhi,India,Indira Gandhi International",IndiGo
59,2016,AUH,"Abu Dhabi,United Arab Emirates,International",DEL,"New Delhi,India,Indira Gandhi International",Etihad Airways
58,2016,JFK,"New York,USA,John F. Kennedy",AUH,"Abu Dhabi,United Arab Emirates,International",Etihad Airways
57,2016,PHL,"Philadelphia,USA,International",SYR,"Syracuse,USA,Syracuse Hancock International",American Airlines
56,2016,AZA,"Phoenix,USA,Williams Gateway Airport",PHL,"Philadelphia,USA,International",American Airlines
55,2016,SLC,"Salt Lake City,USA,International",AZA,"Phoenix,USA,Williams Gateway Airport",American Airlines
54,2016,DFW,"Dallas/Fort Worth,USA,International",SLC,"Salt Lake City,USA,International",American Airlines
53,2016,PHL,"Philadelphia,USA,International",ADS,"Dallas,USA,Addison Airport",American Airlines
52,2016,SYR,"Syracuse,USA,Syracuse Hancock International",PHL,"Philadelphia,USA,International",American Airlines
51,2016,LHR,"London,United Kingdom,Heathrow",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Air Canada
50,2016,DEL,"New Delhi,India,Indira Gandhi International",LHR,"London,United Kingdom,Heathrow",Jet Airways
49,2015,LHR,"London,United Kingdom,Heathrow",DEL,"New Delhi,India,Indira Gandhi International",Jet Airways
48,2015,YYZ,"Toronto,Canada,Lester B Pearson Intl.",LHR,"London,United Kingdom,Heathrow",Air Canada
47,2015,AUH,"Abu Dhabi,United Arab Emirates,International",JFK,"New York,USA,John F. Kennedy",Etihad Airways
46,2015,DEL,"New Delhi,India,Indira Gandhi International",AUH,"Abu Dhabi,United Arab Emirates,International",Etihad Airways
45,2015,BOM,"Mumbai (Bombay),India,Chhatrapati Shivaji",JAI,"Jaipur,India",GoAir
44,2015,DEL,"New Delhi,India,Indira Gandhi International",BOM,"Mumbai (Bombay),India,Chhatrapati Shivaji",GoAir
43,2015,AUH,"Abu Dhabi,United Arab Emirates,International",DEL,"New Delhi,India,Indira Gandhi International",Etihad Airways
42,2015,JFK,"New York,USA,John F. Kennedy",AUH,"Abu Dhabi,United Arab Emirates,International",Etihad Airways
41,2015,KEF,"Reykjavik,Iceland,Keflavik International",JFK,"New York,USA,John F. Kennedy",Icelandair
40,2015,LGW,"London,United Kingdom,Gatwick",KEF,"Reykjavik,Iceland,Keflavik International",Icelandair
39,2015,ATH,"Athens,Greece,Eleftherios Venizelos",ORY,"Paris,France,Orly",Transavia Airlines
38,2015,PRG,"Prague,Czech Republic,Vaclav Havel",ATH,"Athens,Greece,Eleftherios Venizelos",Aegean Airlines
37,2014,LIS,"Lisbon,Portugal,Humberto Delgado",SXF,"Berlin,Germany,Schonefeld",TAP Air Portugal
36,2014,STN,"London,United Kingdom,Stansted",OPO,"Porto,Portugal,Francisco Sa Carneiro",Ryanair
35,2014,EDI,"Edinburgh,United Kingdom,Turnhouse",STN,"London,United Kingdom,Stansted",easyJet
34,2014,STN,"London,United Kingdom,Stansted",EDI,"Edinburgh,United Kingdom,Turnhouse",easyJet
33,2014,KEF,"Reykjavik,Iceland,Keflavik International",LGW,"London,United Kingdom,Gatwick",Icelandair
32,2014,JFK,"New York,USA,John F. Kennedy",KEF,"Reykjavik,Iceland,Keflavik International",Icelandair
31,2014,MIA,"Miami,USA,International",JFK,"New York,USA,John F. Kennedy",American Airlines
30,2014,POS,"Port-of-Spain,Trinidad and Tobago,Piarco",MIA,"Miami,USA,International",American Airlines
29,2014,JFK,"New York,USA,John F. Kennedy",POS,"Port-of-Spain,Trinidad and Tobago,Piarco",American Airlines
28,2014,IST,"Istanbul,Turkey,New Airport",JFK,"New York,USA,John F. Kennedy",Turkish Airlines
27,2014,DEL,"New Delhi,India,Indira Gandhi International",IST,"Istanbul,Turkey,New Airport",Turkish Airlines
26,2014,IST,"Istanbul,Turkey,New Airport",DEL,"New Delhi,India,Indira Gandhi International",Turkish Airlines
25,2014,JFK,"New York,USA,John F. Kennedy",IST,"Istanbul,Turkey,New Airport",Turkish Airlines
24,2014,MIA,"Miami,USA,International",JFK,"New York,USA,John F. Kennedy",American Airlines
23,2013,JFK,"New York,USA,John F. Kennedy",MIA,"Miami,USA,International",American Airlines
22,2013,SFO,"San Francisco,USA,International",JFK,"New York,USA,John F. Kennedy",Delta Air Lines
21,2013,JFK,"New York,USA,John F. Kennedy",SFO,"San Francisco,USA,International",Delta Air Lines
20,2013,JFK,"New York,USA,John F. Kennedy",SYR,"Syracuse,USA,Syracuse Hancock International",Jetblue Airways
19,2013,DEL,"New Delhi,India,Indira Gandhi International",JFK,"New York,USA,John F. Kennedy","Air India"
18,2013,CCU,"Kolkata,India,Netaji Subhas Int.",DEL,"New Delhi,India,Indira Gandhi International",IndiGo
17,2012,DEL,"New Delhi,India,Indira Gandhi International",VNS,"Varanasi,India,Lal Bahadur Shastri",SpiceJet
16,2011,CDG,"Paris,France,Charles de Gaulle",DEL,"New Delhi,India,Indira Gandhi International",Air India
15,2011,MAD,"Madrid,Spain,Adolfo Suárez, Barajas",BVA,"Beauvais,France,Tille",Ryanair
14,2011,BCN,"Barcelona,Spain,El Prat International",MAD,"Madrid,Spain,Adolfo Suárez, Barajas",Vueling Airlines
13,2011,BVA,"Beauvais,France,Tille",BCN,"Barcelona,Spain,El Prat International",Ryanair
12,2011,NCE,"Nice,France,Cote d'Azur",CDG,"Paris,France,Charles de Gaulle",easyJet
11,2011,GVA,"Geneva,Switzerland,Geneve-Cointrin",NCE,"Nice,France,Cote d'Azur",easyJet
10,2011,CDG,"Paris,France,Charles de Gaulle",GVA,"Geneva,Switzerland,Geneve-Cointrin",easyJet
9,2011,HEL,"Helsinki,Finland,Vantaa",CDG,"Paris,France,Charles de Gaulle",Finnair
8,2011,DEL,"New Delhi,India,Indira Gandhi International",HEL,"Helsinki,Finland,Vantaa",Finnair
7,2011,HEL,"Helsinki,Finland,Vantaa",DEL,"New Delhi,India,Indira Gandhi International",Finnair
6,2011,CDG,"Paris,France,Charles de Gaulle",HEL,"Helsinki,Finland,Vantaa",Finnair
5,2011,CIA,"Roma,Italy,Ciampino",BVA,"Beauvais,France,Tille",Ryanair
4,2011,BVA,"Beauvais,France,Tille",BGY,"Bergamo,Italy,Orio al Serio",Ryanair
3,09-01-2010,DEL,"New Delhi,India,Indira Gandhi International",CDG,"Paris,France,Charles de Gaulle","Air India"
2,2009,BLR,"Bangalore,India,Kempegowda International",DEL,"New Delhi,India,Indira Gandhi International",IndiGo
1,06-07-2009,BOM,"Mumbai (Bombay),India,Chhatrapati Shivaji",DEL,"New Delhi,India,Indira Gandhi International",Jet Airways
