Lat_Start,Lon_Start,Lat_End,Lon_End
47.449001,-122.308998,36.89459991,-76.20120239
36.89459991,-76.20120239,47.449001,-122.308998
25.273056,51.608056,40.63980103,-73.77890015
28.5665,77.103104,25.273056,51.608056
40.69250107,-74.16870117,28.5665,77.103104
36.89459991,-76.20120239,40.69250107,-74.16870117
40.63980103,-73.77890015,36.89459991,-76.20120239
28.5665,77.103104,40.63980103,-73.77890015
17.23131752,78.42985535,28.5665,77.103104
28.5665,77.103104,17.23131752,78.42985535
43.67720032,-79.63059998,28.5665,77.103104
51.148102,-0.190278,43.67720032,-79.63059998
53.421299,-6.27007,53.33359909,-2.849720001
51.148102,-0.190278,53.421299,-6.27007
43.67720032,-79.63059998,51.148102,-0.190278
19.4363,-99.072098,43.67720032,-79.63059998
43.67720032,-79.63059998,19.4363,-99.072098
45.47060013,-73.74079895,43.67720032,-79.63059998
28.5665,77.103104,45.47060013,-73.74079895
26.1542,85.89,28.5665,77.103104
13.1979,77.706299,26.1542,85.89
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
25.273056,51.608056,43.67720032,-79.63059998
4.191830158,73.52909851,25.273056,51.608056
13.1979,77.706299,4.191830158,73.52909851
28.5665,77.103104,13.1979,77.706299
13.1979,77.706299,28.5665,77.103104
26.1542,85.89,13.1979,77.706299
13.1979,77.706299,26.1542,85.89
15.38080025,73.83139801,13.1979,77.706299
13.1979,77.706299,15.38080025,73.83139801
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
28.5665,77.103104,43.67720032,-79.63059998
24.61770058,73.89610291,28.5665,77.103104
28.5665,77.103104,24.61770058,73.89610291
13.1979,77.706299,28.5665,77.103104
28.5665,77.103104,13.1979,77.706299
43.67720032,-79.63059998,28.5665,77.103104
22.308901,113.915001,43.67720032,-79.63059998
28.5665,77.103104,22.308901,113.915001
13.1979,77.706299,28.5665,77.103104
22.65469933,88.44670105,13.1979,77.706299
